NAMES               STATUS                     PORTS
kmsa-grafana        Up 2 minutes               0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
kmsa-monolith       Up 3 minutes (unhealthy)   0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
kmsa-notification   Up 4 minutes (healthy)     0.0.0.0:8083->8083/tcp, [::]:8083->8083/tcp
kmsa-auth           Up 4 minutes (healthy)     0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp
kmsa-prometheus     Up 5 minutes               0.0.0.0:9091->9090/tcp, [::]:9091->9090/tcp
kmsa-analytics      Up 6 minutes (healthy)     0.0.0.0:8087->8087/tcp, [::]:8087->8087/tcp
kmsa-blog           Up 8 minutes (healthy)     0.0.0.0:8086->8086/tcp, [::]:8086->8086/tcp
kmsa-contact        Up 10 minutes (healthy)    0.0.0.0:8085->8085/tcp, [::]:8085->8085/tcp
kmsa-content        Up 21 minutes (healthy)    0.0.0.0:8084->8084/tcp, [::]:8084->8084/tcp
kmsa-postgres       Up 22 minutes (healthy)    0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
kmsa-gateway        Up 13 minutes              0.0.0.0:8090->80/tcp, [::]:8090->80/tcp
minikube            Up 7 days                  127.0.0.1:32768->22/tcp, 127.0.0.1:32769->2376/tcp, 127.0.0.1:32770->5000/tcp, 127.0.0.1:32771->8443/tcp, 127.0.0.1:32772->32443/tcp
